股票代號,股票名稱,股數,持股權重
1319,東陽,511000,0.02
1590,亞德客-KY,530000,0.3
1815,富喬,107000,0.0
2002,中鋼,5163000,0.04
2303,聯電,56167000,2.4
2308,台達電,6572000,5.3
2313,華通,4124000,0.38
2317,鴻海,1000,0.0
2327,國巨*,18313000,3.24
2330,台積電,11657000,10.26
2345,智邦,6231000,6.07
2357,華碩,1703000,0.42
2368,金像電,7018000,3.52
2383,台光電,4723000,8.47
2404,漢唐,1394000,0.54
2439,美律,18000,0.0
2449,京元電子,12919000,1.5
2454,聯發科,4263000,5.4
2481,強茂,3654000,0.17
3008,大立光,329000,0.44
3017,奇鋐,4925000,4.7
3036,文曄,1200000,0.13
3037,欣興,10822000,3.45
3217,優群,874000,0.06
3264,欣銓,9030000,0.79
3376,新日興,1741000,0.13
3443,創意,107000,0.2
3653,健策,2267000,3.05
3661,世芯-KY,1000,0.0
3665,貿聯-KY,4703848,3.83
3711,日月光投控,14998000,3.19
4966,譜瑞-KY,1036000,0.32
5274,信驊,483000,3.23
5439,高技,3528000,0.54
6147,頎邦,1000,0.0
6187,萬潤,1224000,0.54
6191,精成科,3988000,0.14
6223,旺矽,2169000,4.97
6274,台燿,4151000,2.11
6278,台表科,2500000,0.21
6415,矽力*-KY,940000,0.17
6510,精測,930000,1.35
6515,穎崴,442000,1.68
6669,緯穎,2294000,4.56
6805,富世達,1761000,1.19
8046,南電,12658000,3.87
8150,南茂,11334000,0.36
8210,勤誠,1967000,1.08
8358,金居,1980000,0.3
8996,高力,1034000,0.42
