股票代號,股票名稱,股數,持股權重
1303,南亞,17098000,1.28
1319,東陽,1502000,0.13
1326,台化,8828000,0.39
1815,富喬,3000,0.0
2002,中鋼,4927000,0.1
2308,台達電,4339000,6.62
2327,國巨*,10803000,2.84
2330,台積電,4873000,8.96
2345,智邦,3301000,5.52
2357,華碩,6000,0.0
2368,金像電,5841000,5.45
2383,台光電,2636000,7.75
2404,漢唐,574000,0.51
2408,南亞科,1306000,0.29
2439,美律,6000,0.0
2449,京元電子,7082000,1.99
2454,聯發科,487000,0.78
3008,大立光,8000,0.02
3017,奇鋐,2976000,6.6
3037,欣興,7410000,3.78
3045,台灣大,6000,0.0
3189,景碩,2657000,0.95
3211,順達,3969000,1.46
3217,優群,356000,0.06
3264,欣銓,1790000,0.29
3324,雙鴻,159000,0.16
3376,新日興,1426000,0.3
3443,創意,265000,0.66
3533,嘉澤,115000,0.26
3653,健策,1378000,5.63
3661,世芯-KY,339000,1.04
3665,貿聯-KY,2775848,5.22
3711,日月光投控,6039000,2.16
4979,華星光,1037000,0.42
5274,信驊,258000,3.01
5347,世界,5719000,0.7
6139,亞翔,1525000,0.88
6187,萬潤,388000,0.38
6191,精成科,3400000,0.33
6223,旺矽,1384000,5.13
6274,台燿,845000,0.53
6488,環球晶,1701000,0.77
6510,精測,591000,1.94
6515,穎崴,268000,2.14
6669,緯穎,74000,0.25
6805,富世達,682000,1.31
8046,南電,5697000,3.23
8210,勤誠,1459000,1.34
8358,金居,1865000,0.45
8996,高力,335000,0.29
