股票代號,股票名稱,股數,持股權重
1590,亞德客-KY,1000,0.0
2002,中鋼,5163000,0.04
2303,聯電,87518000,3.62
2308,台達電,7040000,4.37
2313,華通,1000,0.0
2317,鴻海,1000,0.0
2327,國巨*,25387000,4.99
2330,台積電,11884000,10.16
2345,智邦,6564000,4.74
2360,致茂,1000,0.0
2368,金像電,1957000,0.67
2382,廣達,1000,0.0
2383,台光電,4843000,9.76
2408,南亞科,1000,0.0
2439,美律,1000,0.0
2449,京元電子,11275450,0.93
2454,聯發科,5148000,6.92
2481,強茂,5000,0.0
2637,慧洋-KY,200000,0.01
3008,大立光,1000,0.0
3017,奇鋐,5899000,6.0
3037,欣興,20300000,7.82
3264,欣銓,5917000,0.43
3376,新日興,1741000,0.11
3443,創意,142000,0.28
3653,健策,2395000,4.59
3661,世芯-KY,1000,0.0
3665,貿聯-KY,4671848,3.77
3711,日月光投控,19479000,4.06
4958,臻鼎-KY,1645000,0.26
4966,譜瑞-KY,140000,0.03
4979,華星光,2424000,0.5
5274,信驊,410900,2.24
5347,世界,1000,0.0
6187,萬潤,483000,0.2
6191,精成科,3988000,0.12
6223,旺矽,2486000,4.82
6271,同欣電,2223000,0.15
6274,台燿,5498000,2.92
6278,台表科,3249000,0.22
6488,環球晶,1000,0.0
6510,精測,477000,0.45
6515,穎崴,1000,0.0
6669,緯穎,2226000,4.94
6805,富世達,2264000,1.42
8046,南電,9624000,3.88
8150,南茂,1000,0.0
8210,勤誠,2477000,0.83
8358,金居,1000,0.0
8996,高力,1101000,0.43
