股票代號,股票名稱,股數,持股權重
1590,亞德客-KY,530000,0.25
1815,富喬,107000,0.0
2002,中鋼,5163000,0.03
2303,聯電,77390000,4.12
2308,台達電,6222000,4.46
2313,華通,1000,0.0
2317,鴻海,7307000,0.65
2327,國巨*,23892000,8.48
2330,台積電,11960000,10.0
2345,智邦,6334000,5.48
2368,金像電,8315000,3.86
2382,廣達,1000,0.0
2383,台光電,4486000,8.71
2439,美律,18000,0.0
2449,京元電子,6484000,0.73
2454,聯發科,4861000,7.23
2481,強茂,5000,0.0
3008,大立光,1000,0.0
3017,奇鋐,5191000,4.18
3037,欣興,13307000,4.46
3264,欣銓,1508000,0.12
3376,新日興,1741000,0.12
3443,創意,1000,0.0
3533,嘉澤,852000,0.66
3653,健策,2267000,2.9
3661,世芯-KY,1000,0.0
3665,貿聯-KY,4833848,3.2
3711,日月光投控,17948000,4.03
4958,臻鼎-KY,1000,0.0
4966,譜瑞-KY,1642000,0.38
5274,信驊,422000,2.71
5347,世界,1000,0.0
5439,高技,3528000,0.39
6147,頎邦,6275000,0.58
6187,萬潤,1334000,0.56
6191,精成科,3988000,0.14
6223,旺矽,2279000,4.88
6271,同欣電,2966000,0.26
6274,台燿,5058000,3.2
6278,台表科,4334000,0.3
6488,環球晶,350000,0.13
6510,精測,930000,1.09
6515,穎崴,348000,1.1
6669,緯穎,2492000,4.03
6805,富世達,1811000,1.1
8046,南電,8917000,2.57
8150,南茂,11635000,0.44
8210,勤誠,2267000,1.03
8358,金居,980000,0.23
8996,高力,354000,0.18
