股票代號,股票名稱,股數,持股權重
1303,南亞,1374000,0.05
1319,東陽,509000,0.02
1590,亞德客-KY,500000,0.31
1815,富喬,107000,0.0
2002,中鋼,5161000,0.04
2303,聯電,40054000,1.26
2308,台達電,6024000,5.5
2313,華通,1343000,0.13
2317,鴻海,10727000,1.02
2327,國巨*,16954000,2.3
2330,台積電,9693000,8.92
2337,旺宏,2910000,0.21
2345,智邦,6031000,5.62
2357,華碩,16000,0.0
2368,金像電,8240000,4.73
2383,台光電,4425000,8.29
2404,漢唐,1091000,0.44
2439,美律,16000,0.0
2449,京元電子,12719000,1.52
2454,聯發科,4363000,4.74
2481,強茂,3652000,0.16
3017,奇鋐,3902000,4.67
3037,欣興,9287000,3.15
3189,景碩,5358000,1.15
3217,優群,830000,0.06
3264,欣銓,4897000,0.41
3376,新日興,1681000,0.15
3443,創意,271000,0.47
3653,健策,2267000,5.21
3661,世芯-KY,738000,1.25
3665,貿聯-KY,4583848,5.38
3711,日月光投控,9536000,1.97
4966,譜瑞-KY,371000,0.09
4979,華星光,1000,0.0
5274,信驊,406000,2.84
5439,高技,3130000,0.51
6147,頎邦,7884000,0.53
6191,精成科,3986000,0.17
6223,旺矽,1886000,3.94
6274,台燿,3019000,1.24
6415,矽力*-KY,660000,0.11
6510,精測,930000,1.42
6515,穎崴,391000,1.68
6669,緯穎,1754000,3.59
6805,富世達,2099000,1.83
7769,鴻勁,98000,0.22
8046,南電,12637000,4.88
8210,勤誠,1117000,0.53
8358,金居,5558000,0.87
8996,高力,535000,0.26
