股票代號,股票名稱,股數,持股權重
1590,亞德客-KY,530000,0.25
1815,富喬,107000,0.0
2002,中鋼,5163000,0.03
2303,聯電,77390000,3.78
2308,台達電,6572000,4.75
2313,華通,329000,0.03
2317,鴻海,7307000,0.66
2327,國巨*,23892000,8.67
2330,台積電,11960000,9.68
2345,智邦,6334000,5.18
2368,金像電,8315000,3.78
2382,廣達,1000,0.0
2383,台光電,4486000,8.44
2439,美律,18000,0.0
2449,京元電子,6484000,0.67
2454,聯發科,4861000,7.17
2481,強茂,5000,0.0
3008,大立光,1000,0.0
3017,奇鋐,5191000,4.18
3037,欣興,12466000,4.05
3264,欣銓,1508000,0.12
3376,新日興,1741000,0.12
3443,創意,258000,0.42
3533,嘉澤,852000,0.66
3653,健策,2267000,3.02
3661,世芯-KY,1000,0.0
3665,貿聯-KY,4833848,3.41
3711,日月光投控,17948000,3.7
4958,臻鼎-KY,1428000,0.31
4966,譜瑞-KY,1642000,0.38
5274,信驊,422000,2.69
5347,世界,1000,0.0
5439,高技,3528000,0.39
6147,頎邦,6275000,0.53
6187,萬潤,1334000,0.55
6191,精成科,3988000,0.13
6223,旺矽,2279000,4.91
6271,同欣電,1966000,0.16
6274,台燿,5058000,3.12
6278,台表科,4334000,0.3
6488,環球晶,350000,0.13
6510,精測,930000,1.13
6515,穎崴,436000,1.38
6669,緯穎,2492000,4.29
6805,富世達,1811000,1.07
8046,南電,10828000,3.18
8150,南茂,11635000,0.41
8210,勤誠,2267000,1.04
8358,金居,980000,0.23
8996,高力,1034000,0.55
