股票代號,股票名稱,股數,持股權重
1590,亞德客-KY,528000,0.26
1815,富喬,107000,0.0
2002,中鋼,5163000,0.04
2303,聯電,86550000,4.95
2308,台達電,5181000,3.64
2313,華通,1000,0.0
2317,鴻海,1000,0.0
2327,國巨*,25098000,7.39
2330,台積電,11960000,10.96
2345,智邦,6334000,5.47
2368,金像電,8315000,3.2
2382,廣達,1000,0.0
2383,台光電,4653000,8.76
2439,美律,1000,0.0
2449,京元電子,1886000,0.21
2454,聯發科,5131000,7.11
2481,強茂,5000,0.0
3008,大立光,1000,0.0
3017,奇鋐,5191000,4.17
3037,欣興,16333000,5.41
3264,欣銓,1508000,0.12
3376,新日興,1741000,0.13
3443,創意,1000,0.0
3533,嘉澤,1000,0.0
3653,健策,2267000,2.64
3661,世芯-KY,1000,0.0
3665,貿聯-KY,4833848,3.25
3711,日月光投控,15284000,3.71
4958,臻鼎-KY,1000,0.0
4966,譜瑞-KY,140000,0.03
5274,信驊,416900,2.05
5347,世界,1000,0.0
5439,高技,3528000,0.39
6147,頎邦,6275000,0.44
6187,萬潤,1334000,0.5
6191,精成科,3988000,0.15
6223,旺矽,2443000,5.86
6271,同欣電,2966000,0.25
6274,台燿,5160000,2.73
6278,台表科,4334000,0.28
6488,環球晶,50000,0.03
6510,精測,349000,0.36
6515,穎崴,204000,0.54
6669,緯穎,2417000,4.49
6805,富世達,1811000,0.91
8046,南電,9519000,4.65
8150,南茂,1000,0.0
8210,勤誠,2267000,0.95
8358,金居,1000,0.0
8996,高力,1000,0.0
